"","PartNum","RescorlaWagner_feedbALL","RescorlaWagner_obsALL","BestModelsubstr","feedbMinObs"
"1",1,234.199355955784,250.670343568365,"feedbALL",-16.470987612581
"2",2,488.815061681017,478.275968625837,"obsALL",10.53909305518
"3",3,280.968203617832,315.292552315228,"feedbALL",-34.324348697396
"4",4,373.080951993927,359.086491936138,"obsALL",13.994460057789
"5",6,174.07909608625,195.728301565928,"feedbALL",-21.649205479678
"6",7,375.959853059354,593.308670639473,"feedbALL",-217.348817580119
"7",8,149.478506411536,142.063965304038,"obsALL",7.414541107498
"8",9,406.769919355205,403.889073625736,"obsALL",2.880845729469
"9",10,57.5154743026666,62.4402502877971,"feedbALL",-4.9247759851305
"10",11,388.666700393412,386.125042828903,"obsALL",2.54165756450897
"11",12,240.502512004689,246.798986968127,"feedbALL",-6.29647496343799
"12",14,170.112511292097,170.171110331151,"feedbALL",-0.0585990390540019
"13",15,233.812677140351,241.979699316634,"feedbALL",-8.16702217628298
"14",16,516.529640107602,562.458718148253,"feedbALL",-45.929078040651
"15",17,89.9308785778157,80.0048643517285,"obsALL",9.9260142260872
"16",18,131.748813636364,131.211092723174,"obsALL",0.537720913189986
"17",19,246.094686884879,254.880220191774,"feedbALL",-8.78553330689499
"18",20,214.590772896406,243.835946672488,"feedbALL",-29.245173776082
"19",21,397.162008975707,394.899310781355,"obsALL",2.26269819435203
"20",22,115.04595618764,117.030693781752,"feedbALL",-1.984737594112
"21",23,301.616610205884,299.265784072185,"obsALL",2.350826133699
"22",24,434.848977619697,466.842974336721,"feedbALL",-31.993996717024
"23",25,217.101437771796,212.378213190306,"obsALL",4.72322458148997
"24",26,137.055810642421,142.939971344754,"feedbALL",-5.88416070233302
"25",27,151.005834128129,142.571346402259,"obsALL",8.43448772587001
"26",28,212.746203708488,224.159374285123,"feedbALL",-11.413170576635
"27",29,149.670040302362,148.735413275824,"obsALL",0.93462702653801
"28",30,293.959956491832,300.674184866144,"feedbALL",-6.71422837431203
"29",31,141.484025499669,136.207150294596,"obsALL",5.276875205073
"30",32,535.737390258561,547.602513154446,"feedbALL",-11.865122895885
"31",33,124.432292894041,117.939198229349,"obsALL",6.49309466469199
"32",34,150.082882856229,155.386618350501,"feedbALL",-5.30373549427202
