"PartNum","alpha","beta","alpha_c","beta_c","BIC","LogLikel"
1,0.0972662328125393,6.12721131314303,0,NA,241.11561775956,-112.012168650022
2,0.0157283717307999,6.48746504082267,0.0144820380329421,NA,495.816586542495,-239.367695063043
3,0.426454781875507,5.14349642726075,0,NA,277.241483242838,-130.075101391661
4,0.0588107610865336,8.90413517166999,0.133028305503144,NA,358.345709952766,-170.642391941873
6,0.0456758335252258,10,0,NA,182.372274337575,-82.6404969390293
7,0.346852922469868,6.10141650298907,0,NA,311.508115811498,-147.203392545663
8,0.112030137928065,10,0.0699714039296152,NA,144.75563791951,-63.832178729997
9,0.0129418771189977,10,0.0100087465205133,NA,409.751471873664,-196.340196755346
10,0.290570845932281,10,0.0103379730167067,NA,63.1954210402089,-23.0571123119004
11,0.0621336277171615,4.55034242429657,0.0479688344609033,NA,387.108316757907,-185.242263061216
12,0.0267395405983745,10,0.0236606561509875,NA,252.702016230481,-117.805367885482
14,0.0755961625043797,8.3849925702964,0.00554631771906367,NA,174.611070482219,-78.7904045377072
15,0.107702152827803,6.41009417723685,0,NA,235.630821034947,-109.300279814071
16,0.0260288526116116,5.30548558483233,0,NA,531.19671598159,-257.078099077269
17,0.12186351851548,10,0.0380010730777614,NA,92.8644879936379,-37.8866037670609
18,0.13735807413111,10,0.0576676267180073,NA,127.444922369093,-55.1768209547885
19,0.230762837804319,4.97303736318664,0,NA,254.34016239651,-118.639618163745
20,0.0730045067981283,6.95897225252843,0,NA,217.062727561406,-100.0526300103
21,0.138776408894578,4.42331441820822,0.0420264446096801,NA,408.45259932759,-195.690760482309
22,0.0823454913011525,10,0.00978354770383312,NA,119.302711745946,-51.141370972216
23,0.0216969644327931,10,0.0073850422429652,NA,305.640463767621,-144.299972970285
24,0.0128666972800377,10,0,NA,457.084078825519,-220.006500231273
25,0.489126873044064,4.90669079140902,0,NA,218.898768485129,-100.903744012806
26,0.211369634296109,9.38753075227975,0.0701427764363904,NA,142.129438445851,-62.5444603093999
27,0.209550149940818,8.21101576122078,0.039688024889846,NA,147.515022424601,-65.2118709825423
28,0.0947762278240055,6.80605740755586,0,NA,216.358160130127,-99.6794400328948
29,0.0583485022087555,10,0.0393373277394978,NA,158.144108060043,-70.5264138002632
30,0.073291423089668,5.83977366047926,0.00950439899720482,NA,303.358989332244,-143.138896457918
31,0.0715791836888498,10,0.0389122642545395,NA,140.690892641,-61.7998060907418
32,0.292094585894941,3.7578431020459,0.136780951945031,NA,535.548918825268,-259.290471696404
33,0.0710907475000311,10,0.0271507763397025,NA,125.358367486198,-54.143644561613
34,0.0635974817087499,10,0.0552021369665552,NA,163.628548714156,-73.2838113225685
